transaction_date,total_transactions,total_volume,total_commissions,buy_count,sell_count,unique_clients,unique_tickers,total_gain_loss,avg_commission_per_tx
2021-04-04,3,33476.14,334.76,3,0,1,3,0.0,111.59
2021-04-07,1,99017.64,990.18,1,0,1,1,0.0,990.18
2021-04-08,8,188667.52,1886.68,7,1,4,7,7397.52,235.84
2021-04-09,4,48853.55,488.53,4,0,3,4,0.0,122.13
2021-04-10,2,9280.89,92.81,2,0,2,2,0.0,46.4
2021-04-11,2,27103.28,271.03,2,0,2,2,0.0,135.51
2021-04-12,1,5621.88,56.22,1,0,1,1,0.0,56.22
2021-04-13,1,5879.88,58.8,1,0,1,1,0.0,58.8
2021-04-14,2,774.81,7.74,2,0,2,2,0.0,3.87
2021-04-15,4,178843.51,1788.43,4,0,2,4,0.0,447.11
2021-04-16,5,85463.23,854.63,5,0,3,4,0.0,170.93
2021-04-17,3,13738.1,137.38,3,0,3,3,0.0,45.79
2021-04-18,7,85058.55,850.57,6,1,6,7,2042.82,121.51
2021-04-19,1,80796.91,807.97,1,0,1,1,0.0,807.97
2021-04-20,2,4120.36,41.21,2,0,2,2,0.0,20.6
2021-04-21,5,105601.13,1056.01,5,0,4,4,0.0,211.2
2021-04-22,2,9905.34,99.06,2,0,2,2,0.0,49.53
2021-04-23,3,29576.61,295.77,3,0,3,3,0.0,98.59
2021-04-24,7,318265.76,3182.65,7,0,5,7,0.0,454.66
2021-04-25,3,11312.0,113.12,3,0,3,3,0.0,37.71
2021-04-26,3,35246.99,352.47,3,0,3,3,0.0,117.49
2021-04-27,5,64484.76,644.85,4,1,4,5,1537.1,128.97
2021-04-28,3,24102.98,241.03,3,0,3,3,0.0,80.34
2021-04-29,3,122142.4,1221.43,3,0,3,3,0.0,407.14
2021-04-30,3,29298.26,292.98,3,0,3,3,0.0,97.66
2021-05-01,4,49700.54,497.01,3,1,4,4,-1969.24,124.25
2021-05-02,10,212609.33,2126.1,10,0,8,10,0.0,212.61
2021-05-03,3,69414.64,694.15,3,0,3,3,0.0,231.38
2021-05-04,3,80427.45,804.27,3,0,3,3,0.0,268.09
2021-05-05,4,45415.89,454.16,4,0,4,4,0.0,113.54
2021-05-06,7,75593.79,755.93,6,1,6,7,133.2,107.99
2021-05-07,6,293223.87,2932.25,6,0,5,6,0.0,488.71
2021-05-08,5,67430.3,674.3,5,0,4,5,0.0,134.86
2021-05-09,5,365186.61,3651.86,4,1,3,5,-3863.31,730.37
2021-05-10,11,308548.9,3085.48,9,2,8,11,-1521.02,280.5
2021-05-11,4,30509.61,305.09,4,0,4,4,0.0,76.27
2021-05-12,8,199772.48,1997.73,8,0,6,8,0.0,249.72
2021-05-13,5,213859.3,2138.59,5,0,5,5,0.0,427.72
2021-05-14,8,108590.28,1085.9,8,0,8,8,0.0,135.74
2021-05-15,11,294686.89,2946.87,11,0,9,11,0.0,267.9
2021-05-16,11,247169.22,2471.69,10,1,10,11,-7261.04,224.7
2021-05-17,10,55950.98,559.51,10,0,9,10,0.0,55.95
2021-05-18,6,47270.17,472.7,3,3,5,6,536.3,78.78
2021-05-19,5,59979.06,599.79,5,0,5,5,0.0,119.96
2021-05-20,14,100610.87,1006.12,14,0,9,14,0.0,71.87
2021-05-21,12,391029.85,3910.3,10,2,9,12,1593.51,325.86
2021-05-22,10,187213.34,1872.14,9,1,7,9,10767.45,187.21
2021-05-23,5,47021.97,470.22,3,2,4,5,3161.35,94.04
2021-05-24,7,98085.68,980.86,7,0,7,7,0.0,140.12
2021-05-25,15,510290.06,5102.91,13,2,14,15,9460.78,340.19
2021-05-26,13,306100.43,3060.99,12,1,13,13,6842.43,235.46
2021-05-27,17,209364.96,2093.65,16,1,14,17,4702.06,123.16
2021-05-28,14,292614.68,2926.15,11,3,12,14,13395.31,209.01
2021-05-29,19,485524.19,4855.24,15,4,15,19,2321.24,255.54
2021-05-30,11,96351.96,963.54,11,0,8,11,0.0,87.59
2021-05-31,12,259235.8,2592.36,11,1,11,12,2663.42,216.03
2021-06-01,9,322666.88,3226.66,8,1,8,9,110.52,358.52
2021-06-02,10,85961.53,859.6,10,0,10,10,0.0,85.96
2021-06-03,10,225335.47,2253.37,9,1,10,10,598.23,225.34
2021-06-04,18,316967.59,3169.67,17,1,14,17,1234.67,176.09
2021-06-05,18,553731.44,5537.31,16,2,10,17,4299.58,307.63
2021-06-06,18,669018.59,6690.17,18,0,13,16,0.0,371.68
2021-06-07,21,359172.24,3591.73,19,2,16,19,424.71,171.03
2021-06-08,12,214310.97,2143.11,10,2,11,12,702.57,178.59
2021-06-09,13,497641.94,4976.42,12,1,10,10,5419.44,382.8
2021-06-10,8,91310.87,913.11,6,2,8,8,2607.48,114.14
2021-06-11,20,366190.39,3661.9,18,2,14,18,2473.5,183.1
2021-06-12,16,257183.85,2571.85,14,2,16,16,-221.18,160.74
2021-06-13,16,117816.6,1178.19,16,0,16,16,0.0,73.64
2021-06-14,18,369609.58,3696.1,17,1,16,17,5560.22,205.34
